id,lida,name,text,photo,date
243,0,Keep Fit Mauritius,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>It is no secret today that Mauritius is among the top countries which is \r\nactually facing an acute problem as far as the health of its population is \r\nconcerned.</p>\r\n<p>As such with the sedentary life style and the lack of practice of sports, a \r\ngood majority of the population is suffering from diseases like high blood \r\npressure, diabetes, stress, obesity and other problems related to health issues \r\nwhich have kept on increasing.</p>\r\n<p>In view of the above the Mauritius Sports Council together with the Ministry \r\nof Youth and Sports are much concerned with the prevailing situation concerning \r\nthe physical, mental and health fitness of the population and as such are \r\nproposing to get the people to practice a sport and at the same time to \r\ninculcate a culture of sports within the population to curb down this \r\ntendency.</p>\r\n<p>Hence the Mauritius Sports Council and the Ministry of Youth and Sports in \r\ncollaboration with other Ministries namely the Ministry of Health and Quality of \r\nLife, the Ministry of Social Security and the Ministry of Women's Right have \r\nlaunched the ""Keep Fit Mauritius"" project on Sunday 18 January 2009 at the \r\nAuguste Vollaire Stadium, Central Flacq. </p>\r\n<p>Many children, youngsters and senior citizens took part in the activity and \r\nwere very enthusiastic to perform keep fit exercises under the guidance of Mrs. \r\nGeorgina Ragaven. The exercises consist of Aerobics, Gym Tonic and free hand \r\nexercise.\xa0 The program will be extended for a period of twelve weeks every \r\nSunday starting at 7:15 am as from 25 January \r\n2009.</p>\r\n<a href=""http://www.miibeian.gov.cn/"" target=""_blank""></a>",<blank>,2009-02-04
244,0,Sport and recreation still play a big part in Kiwi lifestyle,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>The 2007/08 Active New Zealand Survey demonstrates that large numbers of Kiwi \r\nadults continue to participate in sport and recreation.</p>\r\n<p>The new research also shows that there has been no fall off in overall \r\nparticipation levels since the previous comparable survey in 2001.</p>\r\n<p>The survey commissioned by SPARC reveals that, on any given week, 80 percent \r\nof New Zealanders aged 16 and above participate in a sport or recreation \r\nactivity\xa0- that's 2.6 million Kiwis having a go every week.</p>\r\n<p>The data also shows that almost half the adult population meet the minimum \r\nrecommended physical activity guidelines, that is, they did 30 minutes of \r\nmoderate intensity physical activity on at least five days a week. A further 20 \r\npercent of adults are close to meeting that target.</p>\r\n<p>SPARC Chief Executive Peter Miskimmin says the survey results are highly \r\nencouraging.</p>\r\n<p>""The survey shows that despite perceptions we're becoming a nation of couch \r\npotatoes, we're actually out having fun, playing and participating in our \r\nmillions.""</p>\r\n<p>""It reinforces the good work the sport and recreation sector is doing in \r\ncommunities up and down the country.""</p>\r\n<p>""The data gives us tremendous confidence that sport and recreation are as \r\nimportant to New Zealanders as they've ever been,"" Miskimmin said.</p>\r\n<p>Other major results in the survey are: </p>\r\n<ul>\r\n<li>\xa0Walking, gardening and swimming are the top three activities participated \r\nin per year; \r\n</li><li>\xa0Volunteers continue to be the backbone of sport and recreation with one in \r\nfour adults involved as volunteers; \r\n</li><li>\xa0Clubs and centres play a major role in sport and recreation participation. \r\nPer month, one-third of adults utilise clubs/centres for sport and recreation; \r\n</li><li>\xa0We love to compete - 37 percent of adults are involved in events and \r\norganised competitions. \r\n</li><li>\xa0Among adults who are active, sport and recreation is the main way they \r\nachieve their recommended daily dose of physical activity \r\n</li><li>\xa0When compared to the total population, a similar proportion of Maori, New \r\nZealand European and Pacific adults achieve New Zealand national physical \r\nactivity guidelines </li></ul>\r\n<p>The 2007/08 Active New Zealand survey is the most thorough and robust \r\nnational level survey of sport and recreation participation ever done in this \r\ncountry and the first to be published since 2001. A total of 4,443 face-to-face \r\ninterviews were conducted over a 12 month period. </p>\r\n<p>The initial report presents an overview of key findings, and over the next \r\nsix months SPARC will be releasing profiles of regions, most popular sport and \r\nrecreation activities, volunteers, and demographic profiles including ethnicity \r\nand older New Zealanders. </p>\r\n<p>SPARC Research Manager Grant McLean says the survey will provide a wealth of \r\ninformation and will provide a meaningful benchmark for the future. </p>\r\n<p>""What clearly comes through from the data is the large number of New \r\nZealanders who are participating, myth-busting the perception we're becoming \r\nmore sedentary and less involved in getting out there and having a go in a wide \r\nrange of sport and recreation activities. ""</p>\r\n<p>""The survey results confirm that sport and recreation remain fundamental to \r\nthe Kiwi way of life and that here is great potential for more New Zealanders to \r\nparticipate and be active,"" McLean said. </p>\r\n<p>SPARC is the crown entity responsible for promoting encouraging and \r\nsupporting sport and physical recreation in New Zealand. \r\n</p>\r\n<a href=""http://www.miibeian.gov.cn/"" target=""_blank""></a>",<blank>,2009-01-12
245,0,General Assembly of ASFAA in Israel year 2010 Interim report,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nIsraeli sport for All Association is glad to host the General \r\nAssembly of ASFAA to be held in Israel in the year 2010.\r\n\xa0\r\nWe plan that the General Assembly will be held in month March \r\n2010.\r\n\xa0\r\nWe are interested to enable the participants of the General \r\nAssembly to participate in the International 2-day Gilboa walking event \r\norganized by Israeli Sport for All Association (ISFA).\r\n\xa0\r\nThe sittings of the ASFAA General Assembly will take place in the \r\nnorthern part of Israel in Sheraton Moria Hotel in the town Tiberias. This hotel \r\nis a 5 star hotel on the beach of Sea of Galilee.\r\n\xa0\r\nIn the north of Israel there are places sacred to Christianity, \r\nMoslem and Judaism. \r\n\xa0\r\nIsraeli Sport for All Association (ISFA) will take care of all the \r\nrequired visa needed to enable the participants to enter and stay in Israel and \r\nparticipate in the General Assembly. \r\n\xa0\r\nWe intend to organize a 2-day Journey in Israel to any delegate who \r\nwill wish (like visits to Jerusalem, Bet-Lehem, Nazareth etc.).\r\n\xa0\r\nIn the next meeting of the ASFAA Board of Directors, in 2009, we \r\nshall give further and better particulars about our plans in regard to hosting \r\nASFAA General Assembly 2010 in Israel. \r\n\xa0",<blank>,2009-01-06
246,0,Asiania Sport For All Association (ASFAA) Development Outline for 2009-2012,"This outline is drawn up on the basis of the ASFAA Statute to regulate the \r\ndevelopment of the Association and promote the exchanges in the field of sport \r\nfor all in the Asia and Oceania region, aiming at expanding the overall \r\ninfluence of the Association.\xa0 \r\n\xa0\r\n<b>I</b><b>. </b><b>Objectives and Tasks </b>\r\n\xa0\r\n1. To improve the institutional structure and regulate the internal \r\nmanagement.\xa0 A ""post-responsibility"" working mechanism shall be set up and the \r\nresponsibilities for each Board of Director shall be defined, so that they are \r\nregulated to carry out respective responsibilities related to their post.\r\n\xa0\r\n2. To attract more membership from different channels and expand the scale \r\nand influence of ASFAA, enhance the relationship with sports organizations in \r\nvarious countries/regions and international sports organizations such as TAFISA \r\nand IOC, etc. \r\n\xa0\r\n3. To make more efforts to explore and create brands of regional sport for \r\nall events and promote the development of sport for all activities in Asia and \r\nOceania region.\r\n\xa0\r\n4. To establish the academic research base and management training base at \r\nappropriate time to promote international exchanges on theoretical findings and \r\nmanagement experiences. \r\n\xa0\r\n5. To gradually promote the marketing and brand value of ASFAA itself, \r\nseeking to form a sustainable development model and sharing win-win relationship \r\nwith cooperative partners.\r\n\xa0\r\n6. To strengthen the cooperation between ASFAA and media, increase the \r\nmedia coverage over ASFAA and provide a platform of information exchange among \r\ndifferent countries/regions.\r\n\xa0\r\n<b>II</b><b>. </b><b>Actions and Measures</b>\r\n\xa0\r\n7. To set up working mechanism with President as the leadership core, Board \r\nof Directors as the responsibility carriers in different posts and Secretariat \r\nas the coordinators.\xa0 \r\nTo encourage all the Board of Directors to play more active role in the \r\nAssociation development, each Director shall be defined with responsibilities \r\nfor specific working areas according to the post requirements and the personal \r\ncapacities. He/She is requested to submit report or provide information on sport \r\nfor all development in his/her own country/region. In the meantime, the \r\nDirectors are also responsible for coordinating with surrounding \r\ncountries/regions to participate in the activities promoted by the ASFAA. By \r\nclarifying the responsibilities and strengthening cooperation, a scientific \r\nmanagement model will be formed which brings higher efficiency and smooth \r\noperation of the Association.\xa0\xa0 \r\n\xa0\r\n8. On one side, we shall encourage the various sport for all organizations, \r\nespecially national and regional organizations to join in the ASFAA. On the \r\nother side, we shall enhance cooperation with governmental sport organizations \r\nand further strengthen the exchange with international and continental sport for \r\nall organizations. Following this way, the influence of the Association shall be \r\nexpanded both at the governmental and worldwide level.\xa0 \r\n\xa0\r\n9. To regulate the coordinated development of various sport for all \r\nactivities.\r\nAmong the activities with large influence coverage and scale, a series of \r\nbrand shall be recognized and further promoted. We shall make full advantage of \r\nthe major cities in promoting the fitness building methods and the traditional \r\nsports especially those with characteristics of ethnic groups.\xa0 While taking an \r\nactive part in the international sport for all activities such as International \r\nChallenge Day and World Walking Day promoted by TAFISA, we shall create new \r\nprograms with our regional features and promote the brand of influential \r\nactivities of our own.\r\n\xa0\r\n10. To set up academic research base and management training base at a \r\nsuitable time and suitable place.\r\n3-5 qualified universities and institutions shall be selected as the \r\nacademic research base and study on the hot topic in the field of sport for all \r\nand the issues of common concerns.\xa0 The periodic reports on academic findings \r\nshall be publicized for the members' reference and seminars organized for the \r\ninformation exchanges among members.\xa0 The member with high capacity and interest \r\nin hosting the ASFAA events shall be selected as the management training base, \r\nwhich serves as a platform to exchange management experiences and cultivate \r\ntalented leaders in sport for all. It is hoped that the above measures will help \r\nupgrade the level of academic research and management in the field of sport for \r\nall in Asia and Oceania region.\r\n\xa0\r\n11. To increase the popularity of the ASFAA name brand by organizing \r\ninfluential events and attract more sponsorship and partnership from the \r\ninternational and regional well-known enterprises.\r\nThrough marketing and sponsorship, the enterprises will benefit with \r\nincreasing value of product brand and ASFAA will benefit with further promotion \r\nof sport for all in this region with the resources generated from these \r\nenterprises. Therefore, a long-term cooperation mechanism of mutual benefit \r\nbetween ASFAA and the enterprises will be formed.\xa0 \r\n\xa0\r\n12. To put more efforts to strengthen the media promotion and create a \r\nfavorable environment of public opinions. \r\nThe ASFAA Newsletter and ASFAA Journal will continue to edit and publish \r\nregularly. The official website will be updated with profound content and varied \r\nforms. By establishing a press committee within ASFAA, the cooperation with \r\nmedia of various countries/regions will be reinforced. The website will provide \r\nwith database of information and practice of different countries/regions, and \r\nmembers will learn from each other and draw upon various experiences. \r\n\xa0\r\n13. This Outline will be developed under the leadership of President and by \r\nthe Board of Directors and the Secretariat, who takes charge of the \r\nimplementation of the Outline. Each ASFAA member is requested to work out its \r\nown plans according to its different feature.",<blank>,2009-01-06
247,0,Indian Sports Ministry Sanctions over Rs 142 crore to 14 States for creation of basic sports facilities in villages,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nThe Ministry of Youth Affairs and Sports has cleared the \r\nproposals worth over Rs. 142.24 crore for providing Grant-in-Aid to fourteen \r\nStates\xa0for creation of basic sports infrastructure in 12854 village panchayats \r\nand 376 block panchayats under Panchayat Yuva Krida Aur Khel Abhiyan (PYKKA) \r\nduring the year 2008-2009. The details of the proposals are as follows:\xa0\r\n\xa0\r\n\xa0<b>Sanction of financial assistance to States under Panchayat Yuva \r\nKrida Aur Khel Abhiyan (PYKKA) for the year 2008-09.</b>\r\n\r\n\r\n\r\n\r\nS. No.\r\n\r\nName of the State\r\n\r\nNo. of village panchayats\r\n\r\nNo. of\xa0 block panchayats\r\n\r\nAmount Sanctioned in Rs.\r\n\r\n\r\n1.\r\n\r\nAndhra Pradesh\r\n\r\n2190\r\n\r\n113\r\n\r\n25,97,77,000.00\r\n\r\n\r\n2.\r\n\r\nBihar\r\n\r\n847\r\n\r\n53\r\n\r\n10,43,66,000.00\r\n\r\n\r\n3.\r\n\r\nHaryana\r\n\r\n619\r\n\r\n12\r\n\r\n6,50,71,000.00\r\n\r\n\r\n4.\r\n\r\nMizoram\r\n\r\n82\r\n\r\n3\r\n\r\n1,06,66,000.00\r\n\r\n\r\n5.\r\n\r\nOrissa\r\n\r\n623\r\n\r\n31\r\n\r\n7,34,20,000.00\r\n\r\n\r\n6\r\n\r\nPunjab\r\n\r\n1233\r\n\r\n14\r\n\r\n12,54,67,000.00\r\n\r\n\r\n7.\r\n\r\nHimachal Pradesh\r\n\r\n324\r\n\r\n8\r\n\r\n4,02,40,000.00\r\n\r\n\r\n8.\r\n\r\nJammu & Kashmir\r\n\r\n413\r\n\r\n14\r\n\r\n5,31,72,000.00\r\n\r\n\r\n9.\r\n\r\nKerala\r\n\r\n100\r\n\r\n15\r\n\r\n1,59,85,000.00\r\n\r\n\r\n10.\r\n\r\nMaharashtra\r\n\r\n2689\r\n\r\n35\r\n\r\n27,54,98,000.00\r\n\r\n\r\n11.\r\n\r\nNagaland\r\n\r\n110\r\n\r\n5\r\n\r\n1,47,90,000.00\r\n\r\n\r\n12.\r\n\r\nTripura\r\n\r\n104\r\n\r\n4\r\n\r\n1,36,24,000.00\r\n\r\n\r\n13.\r\n\r\nTamil Nadu\r\n\r\n1216\r\n\r\n38\r\n\r\n13,38,74,000.00\r\n\r\n\r\n14.\r\n\r\nMadhya Pradesh\r\n\r\n2304\r\n\r\n31\r\n\r\n23,64,77,000.00\r\n\r\n\r\n\xa0\r\n\r\nTotal\r\n\r\n12854\r\n\r\n376\r\n\r\n142,24,27,000.00\r\n\xa0\r\nUnder the PYKKA programme, above stated financial assistance shall be given \r\nto the Village & Block\xa0 Panchayats for the one time Capital Grant for \r\ndevelopment of Sports Infrastructure, Annual Acquisition Grant, Annual \r\nOperational Grant.",<blank>,2009-01-04
248,0,Qatar sport for all committee to hold GCC festival in February,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>Qatar Sport for All committee held the technical meeting at QOC headquarters \r\non December 17, 2008. It is decided that the seventh GCC sport for all festival \r\nfor men and fourth festival for women is to be held in Doha in February, 2009. \r\n</p>\r\n<p>The meeting was attended by the representatives of the five sport federations \r\nwhich will participate in the festival. </p>\r\n<p>In the beginning of the meeting, Mr. Jamal Al Baker, Director of the \r\ncompetitions, gave a welcome speech in which he expressed his appreciation to \r\nthe representatives and asked them to set a technical regulation for the \r\nfestival. </p>\r\n<p>Al Baker ensured that the festival will include Futsal for men and women, \r\nVolleyball for men, shooting for women, badminton for men and women, swimming \r\nand walking for men and women. </p>",<blank>,2009-01-04
249,0,Bangladesh held the Olympic Day Run,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>The Olympic Day Run - 2008 organized by Bangladesh Olympic Association (BOA) \r\nheld across the country including capital Dhaka with a huge fanfare and \r\nenthusiasm on Friday, 14 November 2008.</p>\r\n<p>Chief of Air Staff Air Marshal S.M. Ziaur Rahman inaugurated the Run as the \r\nchief guest at the National Tennis Complex (NTC) at 7:30 am in the morning. </p>\r\n<p>BOA Vice-President and Chairman of the Day-Run-2008 Organizing Committee \r\nMizanur Rahman Manu, BOA secretary general Kutubuddin Ahmed, Director & CEO \r\nCol (retd) M Wali Ullah, Chairman of Gazi Group Limited Gazi Golam Dastagir, \r\nDirector of Exim Bank Limited Nurul Fazal Bulbul, Country Director of Coca Cola \r\nFar East Limited Debasish Deb were also present on the occasion.</p>\r\n<p>""The Run which commemorates the founding anniversary of the International \r\nOlympic Committee (IOC), is a symbol of uplifting brotherhood and solidarity,"" \r\nAir Marshal Ziaur Rahman said in his speech. He also stressed that, because of \r\nunfriendly weather in the month of June in the country, Bangladesh have shifted \r\nthe universal Day-Run schedule from 23rd June to middle of the November.</p>\r\n<p>The token marathon, starting from NTC, touched Matshya Bhaban, Foreign \r\nMinistry, Press Club and Baitul Mokarrom before ending at the Bangabandhu \r\nNational Stadium (BNS). The BDR orchestra staged a performance when the Run \r\nconcluded at BNS.</p>\r\n<p>The Run also featured a blood donation programme, managed by the Quantum \r\nFoundation, at the National Sport Council (NSC)'s new building premises and \r\nchildren's drawing competition at the old building's gymnasium.</p>\r\n<p>NSC Secretary Akbar Hossain and BOA Director & CEO Col (Retd) M Wali \r\nUllah donated blood among others.</p>\r\n<p>Meanwhile, two brave young man and woman - Sumon and Shirin Akter - who \r\nsurvived cancer, joined the Run after completing a countrywide cancer-awareness \r\ncampaign. </p>\r\n<p>Later, they lit the ""Flame of Hope"" at the Bangabandhu National Stadium to \r\ncreate awareness against the deadly \r\ndisease.</p>",<blank>,2008-12-26
250,0,Women - Get Involved!,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nThe New Zealand Olympic committee is developing a mentoring programme and \r\nsupport service to help get more women into positions of influence in New \r\nZealand sport.\r\n\xa0\r\nWhile more than 90% of all women and girls in New Zealand take part in some \r\nform of physical activity, the management and administration of sport is, on the \r\nwhole, undertaken by men.\r\n\xa0\r\nFifty percent of New Zealand Olympic sports have less than 20% female \r\nparticipation on their boards. Even sports that attract equal numbers of female \r\n/ male participants such as triathlon and rowing do not have adequate female \r\nrepresentation.\r\n\xa0\r\nOne of the members of the team managing the project to get more women \r\ninvolved is former NZOC Board member and International Squash Federation member \r\nSusie Simcock.\xa0 ""Having women and men both represented at executive level is \r\nhighly beneficial. Diversity leads to better decision-making and that's got to \r\nbe good."" ""With the right support and direction playing a role at a community \r\nlevel can lead on to a management role within a national organization and, \r\nultimately, on to a continental or international \r\nfederation.""",<blank>,2008-12-10
251,0,The 2nd Hong Kong Games,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>To further promote ""Sport for All"" cultures in the community, the Sports \r\nCommission of Hong Kong decided that the Hong Kong Games (HKG) be held \r\nbiennially from 2007 onwards. The 1st HKG were held smoothly between 21 April \r\nand 6 May 2007 and a total of 1287 athletes participated in four sports \r\ncompetitions, namely athletics, badminton, basketball and table tennis. Various \r\nHKG-related activities were well-received and they attracted more than 100 000 \r\nmembers of the public.</p>\r\n<p>The 2nd HKG will be held between 9 - 31 May 2009. Based on the operational \r\nmode of the 1st HKG, the 2nd HKG will be organized and coordinated by the Sports \r\nCommission and the Community Sports Committee respectively while the 18 District \r\nCouncils (DCs), the Sports Federation & Olympic Committee of Hong Kong, \r\nChina, relevant National Sports Associations and the Leisure and Cultural \r\nServices Department (LCSD) have been invited to be the co-organizers.</p>\r\n<p>The HKG are the first-ever territory-wide major multi-sport event in Hong \r\nKong with the 18 District Councils as the participating units. The objectives of \r\nthe HKG are to provide districts with more opportunities for sports \r\nparticipation, exchanges and co-operation, and to encourage members of the \r\npublic to actively participate in sports, thereby further promoting the culture \r\nof ""Sport for All"" at the community level. The HKG also aim to strengthen the \r\npublic's sense of belonging to the district they live in and at the same time \r\nfacilitate communication and promote friendship among the 18 districts. \r\nFurthermore, the HKG can also foster closer partnership among all stakeholders \r\nwho promote sports at the community level so as to enhance community \r\ncohesion.</p>\r\n<p>On top of the four sports competitions held in the last HKG, namely \r\nathletics, badminton, basketball and table tennis, two new competitions, \r\nswimming and tennis, will be added to the 2nd HKG. In other words, a total of \r\nsix sports competitions will be held in the 2nd HKG. Each DC will field its \r\nathletes of high calibre to participate in various competitions. There will be \r\nthe ""Overall Champion, 1st runner-up and 2nd runner-up"" prizes for each of the \r\nsix sports competitions mentioned above and the district accumulating the \r\nhighest total points from all the 6 sports competitions will be awarded the \r\nprize for the ""Overall Champion of the 2nd HKG"".</p>\r\n<p>To enable the whole community to learn more about the 2nd HKG and encourage \r\nthem to support and participate in the Games, the Organizer will continue to \r\nlaunch a series of programmes for public participation, including a large-scale \r\nopening ceremony and a grand closing cum prize presentation ceremony, ""Elite \r\nAthletes' Demonstration and Exchange"", ""Cheering Team Competition for the 18 \r\nDistricts"", ""Casting a Vote for My Favourite Sporty District"" and ""Making a \r\nGuess at the Overall Champion of the 2nd Hong Kong Games"" etc. Furthermore, the \r\nOrganizer has introduced the ""Dynamic Moments Photo Contest"" in the coming HKG \r\nso as to enable more members of the public to participate in the HKG in \r\ndifferent ways. Meanwhile, an award named ""District with the Greatest \r\nParticipation in the 2nd HKG"" has also been added to encourage each district to \r\nsend more athletes to participate in the HKG and to enlist support from local \r\ndignitaries. </p>",<blank>,2008-12-10
252,0,Sport is for all in Fiji,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nAustralia is leading by example in helping more people with \r\ndisabilities in Fiji to enjoy the benefits and fun of organized sport and \r\nphysical activity.\r\n\xa0\r\nThe Australian Government, through AusAID and the Australian \r\nSports Commission (ASC), has committed $5 million over five years to roll out \r\nthe Australian Sports Outreach Program in the Pacific nations of Vanuatu, Samoa, \r\nKiribati, Nauru and Fiji.\r\n\xa0\r\nIn Fiji, the ASC has been assisting the Fiji Sports Association \r\nfor the Disabled (FSAD) to introduce and coordinate inclusive sport activities \r\nin 17 special education centres across the country to benefit the health and \r\nwellbeing of more than 1060 children with disabilities.\r\n\xa0\r\nSaimoni Nainoca, FSAD Sport Development Officer, said that one \r\nof their goals is to tailor activities to meet the needs of people with \r\ndisabilities and create opportunities for them to participate in a greater \r\nvariety of sports.\r\n\xa0\r\nThis includes assisting the Fijian sporting federations to \r\ndevelop and deliver inclusive activities such as wheelchair tennis, table \r\ntennis, archery and lawn bowls.\r\n\xa0\r\n'It's wonderful to see so many more children with a disability \r\nin Fiji enjoying the benefits of sport, many for the first time,' said Mr \r\nNainoca.\xa0\r\n\xa0\r\n'Sport is being used as a vehicle to help improve the lives of \r\npeople with disabilities in Fijian communities, to highlight their skills and \r\nabilities, help them develop confidence, encourage personal independence and \r\npromote more positive attitudes amongst the general Fijian public.'\r\n\xa0\r\nOne of the main aims of the program is to help build the \r\ncapacity of schools, sporting federations and disabled people's organizations in \r\nFiji to deliver their own sporting programs for people with \r\ndisabilities.",<blank>,2008-11-25
253,4,Qatar: 2nd annual Schools Olympic Day launched,"<p>Recently, the\xa0organizing\xa0committee of the Schools Olympic Day (SOD) has \r\nsuccessfully launched the second edition of SOD competitions at Doha Sheraton \r\nHotel, under the motto of ""Sport and Environment"". \r\nThe motto reflects the outstanding relationship that links sport with the \r\nenvironment, where human beings in general and athletes in particular should not \r\nbe subjected to living in a polluted environment.</p><p>The first annual SOD in 2007 was widely celebrated as an outstanding \r\nsuccess, where it received an overwhelmingly response from locals and residents \r\nwho interacted with different activities and events.\r\nMore than 70,000 students affiliated to different government, independent, \r\nprivate schools alongside foreign community schools took part in the \r\ncompetitions of the first annual SOD held under the motto ""Sport for Health"".\xa0The second annual SOD is expected to be an even greater hit than the previous \r\nyear, in large part due to the exhaustive efforts of the SOD organizers, the \r\nQatar Olympic Committee, Ministry of Education, Supreme Council of Education, \r\nMinistry of the Environment, and Environment Friends Centre.\xa0\r\nPrior to the launch of the second annual SOD competitions, chairman of the \r\nSOD's organising committee, HE Sheikh Saoud Bin Abdulrahman Al Thani commented \r\n"" I have tapped a real desire and determination amongst our students to be a part \r\nof the upcoming Schools Olympic Day,"" and added that, ""there has been a great \r\nresponse from all schools who declared their readiness to compete in the \r\nevent.""\r\nHis Excellency praised the efforts exerted by the organizers in attempt to \r\nsecure a tangible success for the event, and confirmed that the program's vision \r\naims to encourage the young generation to get involved in sport and adopt a \r\nhealthy life style.</p><p>Sheikh Saoud called on all community members to get involved with the SOD \r\nprogram which aims to consolidate Olympic values while simultaneously increasing \r\nthe spirit of friendship, respect and fair play. He also hailed efforts of all \r\nteachers, education and teaching staff in qualifying, training and encouraging \r\nstudents to take part in the program.\r\nCommunities worldwide have stressed the importance of the environment in \r\nour daily life.\xa0Overall human health correlates closely with the wellbeing of \r\nthe environment, which makes the wellbeing of both inextricably linked. A core \r\nvalue of the Olympic movement is, in fact, maintaining a healthy environment.The International Olympic Committee's (IOC) study on the interaction \r\nbetween sport and environment has set a new criterion for the Olympic movement \r\ncalled ""the third pile"". Their findings have elevated the environment alongside \r\nsport and culture collectively to represent a main dimension for Olympism.\xa0</p><p>The \r\nfindings have also motivated the IOC to go to great lengths in order to ensure a \r\nhealthy environment for future athletes.\r\nUnder the motto ""Sport for the Environment"", the second annual SOD will \r\nreinforce the country's efforts to protect the environment and encourage a \r\nhealthy dialogue of environmental concepts in conformity with the QOC's overall \r\nstrategy.\r\n\xa0\r\nIntroduction to Schools Olympic Day\r\nThe purpose: The Schools Olympic Day event was conceived as part of the \r\n""Sport for All"" programme to increase interest in Olympism among children \r\nespecially school students.The vision of the Schools Olympic Day is to inspire \r\nyoung people in Qatar to participate in sport and adopt a healthy lifestyle.\xa0</p><p>While dedicated to the youth, this event balances sport, education and culture \r\nand aims to educate, engage and influence young athletes, while motivating them \r\nto play an active role in the local community.\r\nThe main objectives of the Schools Olympic Day are to:</p><ul><li>Bring together and celebrate Qatar's best young school athletes\xa0</li><li>Propose a unique and powerful introduction to Olympism\xa0</li><li>Innovate in educating and debating sporting values and societal \r\nchallenges\xa0</li><li>Share and celebrate the cultures of Qatar in a festive atmosphere\xa0</li><li>Reach youth communities throughout Qatar to promote Olympic values</li><li>Raise sport awareness and participation among the youth\xa0</li><li>Act as a platform for initiatives within the Olympic Movement</li><li>Organise an event of the highest national standards</li></ul>",<blank>,2008-10-20
254,0,Qatar: 2nd annual Schools Olympic Day launched,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nRecently, the organising committee of the Schools Olympic Day (SOD) has \r\nsuccessfully launched the second edition of SOD competitions at Doha Sheraton \r\nHotel, under the motto of ""Sport and Environment"". \r\nThe motto reflects the outstanding relationship that links sport with the \r\nenvironment, where human beings in general and athletes in particular should not \r\nbe subjected to living in a polluted environment. \r\nThe first annual SOD in 2007 was widely celebrated as an outstanding \r\nsuccess, where it received an overwhelmingly response from locals and residents \r\nwho interacted with different activities and events.\r\nMore than 70,000 students affiliated to different government, independent, \r\nprivate schools alongside foreign community schools took part in the \r\ncompetitions of the first annual SOD held under the motto ""Sport for Health"". \r\nThe second annual SOD is expected to be an even greater hit than the previous \r\nyear, in large part due to the exhaustive efforts of the SOD organizers, the \r\nQatar Olympic Committee, Ministry of Education, Supreme Council of Education, \r\nMinistry of the Environment, and Environment Friends Centre. \r\nPrior to the launch of the second annual SOD competitions, chairman of the \r\nSOD's organising committee, HE Sheikh Saoud Bin Abdulrahman Al Thani commented \r\n""I have tapped a real desire and determination amongst our students to be a part \r\nof the upcoming Schools Olympic Day,"" and added that, ""there has been a great \r\nresponse from all schools who declared their readiness to compete in the \r\nevent.""\r\nHis Excellency praised the efforts exerted by the organizers in attempt to \r\nsecure a tangible success for the event, and confirmed that the program's vision \r\naims to encourage the young generation to get involved in sport and adopt a \r\nhealthy life style.\r\nSheikh Saoud called on all community members to get involved with the SOD \r\nprogram which aims to consolidate Olympic values while simultaneously increasing \r\nthe spirit of friendship, respect and fair play. He also hailed efforts of all \r\nteachers, education and teaching staff in qualifying, training and encouraging \r\nstudents to take part in the program.\r\nCommunities worldwide have stressed the importance of the environment in \r\nour daily life. Overall human health correlates closely with the wellbeing of \r\nthe environment, which makes the wellbeing of both inextricably linked. A core \r\nvalue of the Olympic movement is, in fact, maintaining a healthy environment. \r\n\r\nThe International Olympic Committee's (IOC) study on the interaction \r\nbetween sport and environment has set a new criterion for the Olympic movement \r\ncalled ""the third pile"". Their findings have elevated the environment alongside \r\nsport and culture collectively to represent a main dimension for Olympism. The \r\nfindings have also motivated the IOC to go to great lengths in order to ensure a \r\nhealthy environment for future athletes.\r\nUnder the motto ""Sport for the Environment"", the second annual SOD will \r\nreinforce the country's efforts to protect the environment and encourage a \r\nhealthy dialogue of environmental concepts in conformity with the QOC's overall \r\nstrategy.\r\n\xa0\r\nIntroduction to Schools Olympic Day\r\nThe purpose: The Schools Olympic Day event was conceived as part of the \r\n""Sport for All"" programme to increase interest in Olympism among children \r\nespecially school students. The vision of the Schools Olympic Day is to inspire \r\nyoung people in Qatar to participate in sport and adopt a healthy lifestyle. \r\nWhile dedicated to the youth, this event balances sport, education and culture \r\nand aims to educate, engage and influence young athletes, while motivating them \r\nto play an active role in the local community.\r\nThe main objectives of the Schools Olympic Day are to:\r\n• Bring together and celebrate Qatar's best young school athletes\r\n• Propose a unique and powerful introduction to Olympism\r\n• Innovate in educating and debating sporting values and societal \r\nchallenges\r\n• Share and celebrate the cultures of Qatar in a festive atmosphere\r\n• Reach youth communities throughout Qatar to promote Olympic values\r\n• Raise sport awareness and participation among the youth\r\n• Act as a platform for initiatives within the Olympic Movement• \r\nOrganise an event of the highest national standards \r\n",<blank>,2008-10-20
